sofifa_id,short_name
250919,N. Baggerman
250918,S. Bakari
250917,J. Gaari
250916,E. Vaessen
250912,J. Pedersen
250911,B. Santelli
250910,B. Onkony
250909,J. Marx
250908,B. dos Santos
250907,R. Garcia
250905,K. Velkov
250903,J. Mroß
250902,O. Ceylan
250901,M. Uğurlu
250896,Kim Min Duk
250895,J. Barnett
250894,Y. Fouzai
250893,L. Duarte
250887,Rafa Tresaco
250886,Jon Ander
250884,Javi Siverio
250883,E. Lombardo
250882,Berto Cayarga
250881,Sergio Ruiz
250878,T. French
250876,F. Egerer
250875,Y. Osée
250872,O. Diagne
250871,T. Duponchelle
250869,A. Vardin
250868,R. Boissier
250857,D. Hočko
250855,S. Jørgensen
250854,R. Carstensen
250853,P. Mattsson
250852,A. Heimer
250851,F. Alves
250850,A. Hagelskjær
250849,J. Sobociński
250847,S. Sonnenberg
250846,Y. Omar
250845,Cadete
250842,J. Graterol
250841,P. Álvarez
250840,K. Yao
250839,J. Pretell
250832,L. Maynard
250828,T. Wålemark
250820,A. Al Humayan
250819,M. Al Moqahwi
250818,Anderson Oliveira
250817,Gabriel Souza
250813,L. Greiml
250812,R. Sotiriou
250811,S. Ogie
250810,M. Ekpiteta
250807,H. Dervişoğlu
250805,D. Abels
250804,J. Walsh
250800,M. Tshibuabua
250799,Z. Hadraf
250798,R. Chamseddine
250788,J. Plautz
250785,S. Santin
250782,I. Bråholm
250781,F. Oswald
250780,D. Gugganig
250779,M. Svoboda
250778,M. Troonbeeckx
250777,E. Hejer
250775,Li Haoran
250774,P. Hoppe
250767,Mychell Chagas
250766,K. Imeri
250765,B. Cespedes
250764,A. Antunes
250763,E. Engelhardt
250762,R. Busset
250759,E. Ramaj
250758,F. Blake-Tracy
250755,S. Tasdemir
250754,N. Shinton
250753,A. Trubin
250744,N. Wunsch
250743,P. Obermüller
250740,T. Bramble
250739,N. Morley
250738,E. Vale
250737,B. Hart
250731,A. Isaiah
250730,J. Ruiz
250727,E. Banguera
250725,M. Diarra
250724,N. Ngoumou
250723,K. Koné
248880,N. Guinness-Walker
248879,K. Holzweiler
248878,L. Kilian
248877,A. Kiss
248876,P. Horschig
248875,N. Jeck
248874,N. Armini
248873,F. Cardozo
248872,R. Sánchez
248870,B. Ojeda
248854,B. Özdemir
248852,Z. Alkurt
248851,A. Aksungur
248849,J. Fielding
248846,O. Yılmaz
248843,H. Altıntaş
248841,P. Ayongo
248840,K. Kelly
248839,J. Young
248834,Gonçalo Gregório
248833,Zé Uilton
248831,M. Diaby
248826,T. Secchi
248824,P. Bjur
248823,S. Straudi
248821,S. Delos
248820,Mateu Morey
248815,K. Berkoe
248814,N. Korkmaz
248812,Y. Ackah
248810,R. Takao
248808,A. Hickey
248805,Sergio Camello
248801,J. Knowles
248798,T. Leak
248797,L. Little
248791,J. Burban
